"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"";"";"";"";"";"";"Bank Service Charge";"S";"";"N";"";"C$4.95";"";"4.95";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$4.95";"";"-4.95";"";"1.00";""
"2012-06-03";"Cash and Deposit";"";"PMT Employee1 (Transfert)";"";"";"Employee1 Employee1";"T";"";"N";"-C$1,352.83";"";"-1,352.83";"";"";""
"";"";"";"";"";"";"Employee1 Employee1";"S";"";"N";"";"C$1,352.83";"";"1,352.83";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,352.83";"";"-1,352.83";"";"1.00";""
"2012-06-03";"Cash and Deposit";"";"Fed Payroll taxes";"";"";"Payroll Tax Fed";"T";"";"N";"-C$950.05";"";"-950.05";"";"";""
"";"";"";"";"";"";"Payroll Tax Fed";"S";"";"N";"";"C$950.05";"";"950.05";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$950.05";"";"-950.05";"";"1.00";""
"2012-06-03";"Cash and Deposit";"";"Qc Payroll taxes";"";"";"Payroll Tax Qc";"T";"";"N";"-C$1,919.64";"";"-1,919.64";"";"";""
"";"";"";"";"";"";"Payroll Tax Qc";"S";"";"N";"";"C$1,919.64";"";"1,919.64";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,919.64";"";"-1,919.64";"";"1.00";""
"2012-06-14";"Cash and Deposit";"";"PMT Employee1 (Transfert)";"";"";"Employee1 Employee1";"T";"";"N";"-C$676.41";"";"-676.41";"";"";""
"";"";"";"";"";"";"Employee1 Employee1";"S";"";"N";"";"C$676.41";"";"676.41";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$676.41";"";"-676.41";"";"1.00";""
"2012-06-14";"Cash and Deposit";"";"PMT Theressa by INGDirect";"";"";"Theressa Dering";"T";"";"N";"-C$2,759.25";"";"-2,759.25";"";"";""
"";"";"";"";"";"";"Theressa Dering";"S";"";"N";"";"C$2,759.25";"";"2,759.25";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$2,759.25";"";"-2,759.25";"";"1.00";""
"2012-06-25";"Cash and Deposit";"";"Investment Employee3";"";"";"2-Owners investment";"T";"";"N";"C$2,000.00";"";"2,000.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$2,000.00";"";"2,000.00";"";"1.00";""
"";"";"";"";"";"";"2-Owners investment";"S";"";"N";"";"-C$2,000.00";"";"-2,000.00";"";"1.00"
"2012-06-28";"Cash and Deposit";"309";"CREMOVED Invoice #309";"";"";"McGill CREMOVED";"T";"";"N";"C$1,500.00";"";"1,500.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$1,500.00";"";"1,500.00";"";"1.00";""
"";"";"";"";"";"";"McGill CREMOVED";"S";"";"N";"";"-C$1,500.00";"";"-1,500.00";"";"1.00"
